,patch1,patch2,dS,dL
191,Juvenile.03,Background.28,1.600749356,6.5093509
192,Juvenile.03,Background.29,2.835657854,5.6203403
193,Juvenile.03,Background.30,3.004942357,7.4868233
194,Juvenile.03,Background.31,2.209744489,6.9245366
195,Juvenile.03,Background.32,1.621139665,8.2310081
196,Juvenile.03,Background.33,1.228110816,7.0329878
202,Juvenile.04,Juvenile.05,2.765697685,6.7496042
203,Juvenile.04,Juvenile.06,3.32375725,8.9804294
204,Juvenile.04,Juvenile.07,3.869565642,10.3094475
205,Juvenile.04,Juvenile.08,2.913400477,7.9847097
206,Juvenile.04,Juvenile.09,4.318900739,8.0156536
207,Juvenile.04,Juvenile.10,2.902770865,9.0562893
208,Juvenile.04,Juvenile.11,3.660698185,9.5582716
209,Juvenile.04,Juvenile.12,1.302893397,7.9673047
210,Juvenile.04,Juvenile.13,3.009974091,3.2005236
211,Juvenile.04,Juvenile.14,3.326521069,4.3812083
212,Juvenile.04,Juvenile.15,1.866775541,10.2072485
213,Juvenile.04,Juvenile.16,2.410560387,6.6165311
214,Juvenile.04,Juvenile.17,3.677859693,1.7269751
215,Juvenile.04,Adult.01,5.444825369,4.2201104
216,Juvenile.04,Adult.02,6.132876044,3.3861165
217,Juvenile.04,Adult.03,3.051991853,8.5467672
218,Juvenile.04,Adult.04,5.6536352,4.6196585
219,Juvenile.04,Adult.05,5.964405516,3.9889419
220,Juvenile.04,Adult.06,5.263112175,3.2439161
221,Juvenile.04,Adult.07,5.217009269,7.1972681
222,Juvenile.04,Adult.8,5.544925798,3.0517111
223,Juvenile.04,Adult.9,6.194776105,5.766973
224,Juvenile.04,Adult.10,6.462887863,1.3308746
225,Juvenile.04,Adult.11,6.395334349,6.7270806
226,Juvenile.04,Adult.12,6.339569173,4.8695006
227,Juvenile.04,Adult.13,6.353072755,6.7616005
228,Juvenile.04,Adult.14,5.18160098,8.0171123
229,Juvenile.04,Adult.15,5.572044714,6.8348375
230,Juvenile.04,Adult.16,6.196922591,1.9513993
231,Juvenile.04,Adult.17,6.289066286,8.222767
232,Juvenile.04,Background.1,1.378204062,12.8380316
233,Juvenile.04,Background.2,2.951499211,13.4782538
234,Juvenile.04,Background.3,4.356217408,10.7839448
235,Juvenile.04,Background.4,3.276580491,12.0155414
236,Juvenile.04,Background.5,2.603805181,16.8798277
237,Juvenile.04,Background.7,4.590462554,13.8591933
238,Juvenile.04,Background.8,2.984947056,13.1861474
239,Juvenile.04,Background.9,3.723705207,16.6132854
240,Juvenile.04,Background.10,3.351402815,14.1172374
241,Juvenile.04,Background.11,4.648561345,14.6754573
242,Juvenile.04,Background.12,4.933123897,8.4898759
243,Juvenile.04,Background.13,4.404146517,11.4692433
244,Juvenile.04,Background.14,2.09473657,12.1372641
245,Juvenile.04,Background.15,4.51268811,16.7995959
246,Juvenile.04,Background.16,2.349943521,13.6841472
247,Juvenile.04,Background.17,2.218978991,7.2961163
248,Juvenile.04,Background.18,0.564477045,17.214444
249,Juvenile.04,Background.19,1.043152441,9.7645395
250,Juvenile.04,Background.21,4.015054087,11.6333664
251,Juvenile.04,Background.22,2.154524793,15.0261517
252,Juvenile.04,Background.24,1.867291598,11.8857621
253,Juvenile.04,Background.25,3.103865012,11.7894161
254,Juvenile.04,Background.26,2.770616622,14.988008
255,Juvenile.04,Background.27,5.590028556,13.3333099
256,Juvenile.04,Background.28,0.007004411,13.0382848
257,Juvenile.04,Background.29,4.429950578,12.1492742
258,Juvenile.04,Background.30,1.407839109,14.0157572
259,Juvenile.04,Background.31,3.785367785,13.4534705
260,Juvenile.04,Background.32,3.169597925,14.759942
261,Juvenile.04,Background.33,0.42918475,13.5619217
267,Juvenile.05,Juvenile.06,0.579442096,2.2308252
268,Juvenile.05,Juvenile.07,1.104099818,3.5598433
269,Juvenile.05,Juvenile.08,0.155020528,1.2351055
270,Juvenile.05,Juvenile.09,1.55952778,1.2660494
271,Juvenile.05,Juvenile.10,0.193548578,2.306685
272,Juvenile.05,Juvenile.11,0.895563358,2.8086674
273,Juvenile.05,Juvenile.12,1.465157821,1.2177005
274,Juvenile.05,Juvenile.13,0.265364574,3.5490806
275,Juvenile.05,Juvenile.14,0.577477441,2.368396
276,Juvenile.05,Juvenile.15,0.902084428,3.4576443
277,Juvenile.05,Juvenile.16,0.360562388,0.1330731
278,Juvenile.05,Juvenile.17,0.919797816,8.4765793
279,Juvenile.05,Adult.01,2.679730471,2.5294938
280,Juvenile.05,Adult.02,3.368732061,3.3634877
281,Juvenile.05,Adult.03,0.385287876,1.797163
282,Juvenile.05,Adult.04,2.889262625,2.1299457
283,Juvenile.05,Adult.05,3.199333909,2.7606623
284,Juvenile.05,Adult.06,2.504587966,3.5056881
285,Juvenile.05,Adult.07,2.456586019,0.4476639
286,Juvenile.05,Adult.8,2.779949605,3.6978931
287,Juvenile.05,Adult.9,3.429079257,0.9826312
288,Juvenile.05,Adult.10,3.697779005,5.4187296
289,Juvenile.05,Adult.11,3.629698314,0.0225236
290,Juvenile.05,Adult.12,3.573875795,1.8801036
291,Juvenile.05,Adult.13,3.587378724,0.0119963
292,Juvenile.05,Adult.14,2.419672916,1.2675081
293,Juvenile.05,Adult.15,2.80643842,0.0852333
294,Juvenile.05,Adult.16,3.431225443,4.7982049
295,Juvenile.05,Adult.17,3.523514478,1.4731628
296,Juvenile.05,Background.1,1.438954458,6.0884274
297,Juvenile.05,Background.2,0.230136916,6.7286496
298,Juvenile.05,Background.3,1.601225517,4.0343406
299,Juvenile.05,Background.4,0.567094101,5.2659372
300,Juvenile.05,Background.5,0.181705266,10.1302235
301,Juvenile.05,Background.7,1.827390657,7.1095891
302,Juvenile.05,Background.8,0.322305865,6.4365432
303,Juvenile.05,Background.9,0.971247191,9.8636812
304,Juvenile.05,Background.10,0.58611019,7.3676332
305,Juvenile.05,Background.11,1.884234083,7.9258531
306,Juvenile.05,Background.12,2.169415477,1.7402717
307,Juvenile.05,Background.13,1.650410543,4.7196391
308,Juvenile.05,Background.14,4.847473385,5.3876599
309,Juvenile.05,Background.15,1.752271772,10.0499917
310,Juvenile.05,Background.16,0.416249205,6.934543
311,Juvenile.05,Background.17,0.562455116,0.5465121
312,Juvenile.05,Background.18,3.191086376,10.4648398
313,Juvenile.05,Background.19,2.120271568,3.0149353
314,Juvenile.05,Background.21,1.263653139,4.8837622
315,Juvenile.05,Background.22,0.838274079,8.2765475
316,Juvenile.05,Background.24,1.067645069,5.1361579
317,Juvenile.05,Background.25,0.50122862,5.0398119
318,Juvenile.05,Background.26,0.10229273,8.2384038
319,Juvenile.05,Background.27,2.824663065,6.5837057
320,Juvenile.05,Background.28,2.769474644,6.2886806
321,Juvenile.05,Background.29,1.665240619,5.39967
322,Juvenile.05,Background.30,4.172662486,7.266153
323,Juvenile.05,Background.31,1.0637785,6.7038663
324,Juvenile.05,Background.32,0.586998548,8.0103378
325,Juvenile.05,Background.33,2.382540753,6.8123175
331,Juvenile.06,Juvenile.07,0.568685729,1.3290181
332,Juvenile.06,Juvenile.08,0.424453854,0.9957197
333,Juvenile.06,Juvenile.09,0.995991195,0.9647758
334,Juvenile.06,Juvenile.10,0.522499827,0.0758599
335,Juvenile.06,Juvenile.11,0.366671386,0.5778422
336,Juvenile.06,Juvenile.12,2.030539526,1.0131246
337,Juvenile.06,Juvenile.13,0.317595528,5.7799058
338,Juvenile.06,Juvenile.14,0.020296411,4.5992211
339,Juvenile.06,Juvenile.15,1.45768912,1.2268191
340,Juvenile.06,Juvenile.16,0.91646289,2.3638982
341,Juvenile.06,Juvenile.17,0.357643153,10.7074045
342,Juvenile.06,Adult.01,2.126836263,4.7603189
343,Juvenile.06,Adult.02,2.811685386,5.5943129
344,Juvenile.06,Adult.03,0.296636478,0.4336622
