response,condition,morph
3,conspecificPassby,red
2,conspecificPassby,red
6,conspecificPassby,red
3,conspecificPassby,red
0,conspecificPassby,red
9,conspecificPassby,red
3,conspecificPassby,red
10,conspecificPassby,red
16,conspecificPassby,red
0,conspecificPassby,red
9,conspecificPassby,red
3,conspecificPassby,red
0,conspecificPassby,red
0,conspecificPassby,yellow
0,conspecificPassby,yellow
1,conspecificPassby,yellow
2,conspecificPassby,yellow
1,conspecificPassby,yellow
6,conspecificPassby,yellow
2,conspecificPassby,yellow
2,conspecificPassby,yellow
3,conspecificPassby,yellow
1,conspecificPassby,yellow
4,conspecificPassby,yellow
3,conspecificPassby,yellow
0,conspecificPassby,yellow
0,conspecificPassby,yellow
0,conspecificPassby,yellow
1,conspecificPassby,yellow
0,conspecificPassby,yellow
0,conspecificPassby,yellow
2,conspecificPassby,yellow
5,conspecificPassby,yellow
2,conspecificPassby,yellow
5,conspecificPassby,yellow
4,conspecificPassby,yellow
1,conspecificPassby,yellow
4,conspecificPassby,yellow
3,conspecificPassby,yellow
2,conspecificPassby,yellow
1,conspecificPassby,yellow
0,conspecificPassby,yellow
0,conspecificPassby,yellow
0,conspecificPassby,yellow
0,conspecificPassby,yellow
1,conspecificPassby,yellow
1,conspecificPassby,yellow
1,conspecificPassby,yellow
7,conspecificPassby,yellow
1,conspecificPassby,yellow
0,conspecificPassby,yellow
0,conspecificPassby,yellow
2,conspecificPassby,yellow
4,conspecificPassby,yellow
3,conspecificPassby,yellow
0,conspecificPassby,yellow
3,conspecificPassby,yellow
1,conspecificPassby,yellow
5,conspecificPassby,yellow
3,conspecificPassby,yellow
0,conspecificPassby,yellow
3,heterospecificPassby,red
6,heterospecificPassby,red
0,heterospecificPassby,red
1,heterospecificPassby,red
2,heterospecificPassby,red
1,heterospecificPassby,red
0,heterospecificPassby,red
3,heterospecificPassby,red
1,heterospecificPassby,red
0,heterospecificPassby,red
0,heterospecificPassby,red
0,heterospecificPassby,red
3,heterospecificPassby,red
1,heterospecificPassby,red
4,heterospecificPassby,red
5,heterospecificPassby,red
3,heterospecificPassby,red
1,heterospecificPassby,red
3,heterospecificPassby,red
1,heterospecificPassby,red
0,heterospecificPassby,red
0,heterospecificPassby,red
7,heterospecificPassby,red
2,heterospecificPassby,red
0,heterospecificPassby,red
2,heterospecificPassby,red
0,heterospecificPassby,red
0,heterospecificPassby,red
1,heterospecificPassby,red
7,heterospecificPassby,red
1,heterospecificPassby,red
2,heterospecificPassby,red
6,heterospecificPassby,red
2,heterospecificPassby,red
0,heterospecificPassby,red
0,heterospecificPassby,red
0,heterospecificPassby,red
3,heterospecificPassby,red
2,heterospecificPassby,red
0,heterospecificPassby,red
1,heterospecificPassby,red
0,heterospecificPassby,red
1,heterospecificPassby,red
1,heterospecificPassby,red
0,heterospecificPassby,red
0,heterospecificPassby,red
0,heterospecificPassby,red
0,heterospecificPassby,red
1,heterospecificPassby,yellow
1,heterospecificPassby,yellow
1,heterospecificPassby,yellow
0,heterospecificPassby,yellow
0,heterospecificPassby,yellow
1,heterospecificPassby,yellow
0,heterospecificPassby,yellow
0,heterospecificPassby,yellow
0,heterospecificPassby,yellow
0,heterospecificPassby,yellow
0,heterospecificPassby,yellow
0,heterospecificPassby,yellow
4,heterospecificPassby,yellow
0,heterospecificPassby,yellow
0,heterospecificPassby,yellow
0,heterospecificPassby,yellow
3,heterospecificPassby,yellow
1,heterospecificPassby,yellow
1,heterospecificPassby,yellow
4,heterospecificPassby,yellow
2,heterospecificPassby,yellow
0,heterospecificPassby,yellow
0,heterospecificPassby,yellow
0,heterospecificPassby,yellow
0,heterospecificPassby,yellow
7,heterospecificPassby,yellow
2,heterospecificPassby,yellow
0,heterospecificPassby,yellow
1,heterospecificPassby,yellow
2,heterospecificPassby,yellow
1,heterospecificPassby,yellow
0,heterospecificPassby,yellow
1,heterospecificPassby,yellow
0,heterospecificPassby,yellow
1,heterospecificPassby,yellow
0,heterospecificPassby,yellow
0,heterospecificPassby,yellow
1,heterospecificPassby,yellow
0,heterospecificPassby,yellow
0,heterospecificPassby,yellow
1,heterospecificPassby,yellow
0,heterospecificPassby,yellow
0,heterospecificPassby,yellow
0,heterospecificPassby,yellow
0,heterospecificPassby,yellow
1,heterospecificPassby,yellow
0,heterospecificPassby,yellow
0,heterospecificPassby,yellow
1,conspecificAttack,red
1,conspecificAttack,red
1,conspecificAttack,red
3,conspecificAttack,red
3,conspecificAttack,red
0,conspecificAttack,red
4,conspecificAttack,red
1,conspecificAttack,red
3,conspecificAttack,red
1,conspecificAttack,red
2,conspecificAttack,red
2,conspecificAttack,red
0,conspecificAttack,red
0,conspecificAttack,red
0,conspecificAttack,red
0,conspecificAttack,red
0,conspecificAttack,red
0,conspecificAttack,red
1,conspecificAttack,red
0,conspecificAttack,red
0,conspecificAttack,red
0,conspecificAttack,red
0,conspecificAttack,red
1,conspecificAttack,red
4,conspecificAttack,red
0,conspecificAttack,red
0,conspecificAttack,red
0,conspecificAttack,red
0,conspecificAttack,red
0,conspecificAttack,red
0,conspecificAttack,red
0,conspecificAttack,red
1,conspecificAttack,red
0,conspecificAttack,red
0,conspecificAttack,red
3,conspecificAttack,red
0,conspecificAttack,red
3,conspecificAttack,red
1,conspecificAttack,red
0,conspecificAttack,red
0,conspecificAttack,red
0,conspecificAttack,red
1,conspecificAttack,red
0,conspecificAttack,red
1,conspecificAttack,red
3,conspecificAttack,red
4,conspecificAttack,red
0,conspecificAttack,red
0,conspecificAttack,yellow
0,conspecificAttack,yellow
5,conspecificAttack,yellow
0,conspecificAttack,yellow
1,conspecificAttack,yellow
4,conspecificAttack,yellow
2,conspecificAttack,yellow
5,conspecificAttack,yellow
4,conspecificAttack,yellow
3,conspecificAttack,yellow
7,conspecificAttack,yellow
1,conspecificAttack,yellow
0,conspecificAttack,yellow
0,conspecificAttack,yellow
0,conspecificAttack,yellow
2,conspecificAttack,yellow
14,conspecificAttack,yellow
9,conspecificAttack,yellow
6,conspecificAttack,yellow
10,conspecificAttack,yellow
3,conspecificAttack,yellow
11,conspecificAttack,yellow
14,conspecificAttack,yellow
22,conspecificAttack,yellow
10,conspecificAttack,yellow
1,conspecificAttack,yellow
1,conspecificAttack,yellow
1,conspecificAttack,yellow
1,conspecificAttack,yellow
0,conspecificAttack,yellow
0,conspecificAttack,yellow
0,conspecificAttack,yellow
8,conspecificAttack,yellow
9,conspecificAttack,yellow
6,conspecificAttack,yellow
3,conspecificAttack,yellow
10,conspecificAttack,yellow
2,conspecificAttack,yellow
1,conspecificAttack,yellow
3,conspecificAttack,yellow
2,conspecificAttack,yellow
0,conspecificAttack,yellow
0,conspecificAttack,yellow
5,conspecificAttack,yellow
6,conspecificAttack,yellow
0,conspecificAttack,yellow
1,conspecificAttack,yellow
3,conspecificAttack,yellow
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
1,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
1,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,red
0,heterospecificAttack,yellow
0,heterospecificAttack,yellow
1,heterospecificAttack,yellow
0,heterospecificAttack,yellow
0,heterospecificAttack,yellow
1,heterospecificAttack,yellow
0,heterospecificAttack,yellow
1,heterospecificAttack,yellow
0,heterospecificAttack,yellow
0,heterospecificAttack,yellow
0,heterospecificAttack,yellow
0,heterospecificAttack,yellow
0,heterospecificAttack,yellow
0,heterospecificAttack,yellow
0,heterospecificAttack,yellow
0,heterospecificAttack,yellow
0,heterospecificAttack,yellow
1,heterospecificAttack,yellow
0,heterospecificAttack,yellow
3,heterospecificAttack,yellow
2,heterospecificAttack,yellow
0,heterospecificAttack,yellow
0,heterospecificAttack,yellow
0,heterospecificAttack,yellow
0,heterospecificAttack,yellow
3,heterospecificAttack,yellow
0,heterospecificAttack,yellow
0,heterospecificAttack,yellow
0,heterospecificAttack,yellow
0,heterospecificAttack,yellow
0,heterospecificAttack,yellow
0,heterospecificAttack,yellow
0,heterospecificAttack,yellow
0,heterospecificAttack,yellow
1,heterospecificAttack,yellow
0,heterospecificAttack,yellow
0,heterospecificAttack,yellow
0,heterospecificAttack,yellow
0,heterospecificAttack,yellow
0,heterospecificAttack,yellow
2,heterospecificAttack,yellow
1,heterospecificAttack,yellow
1,heterospecificAttack,yellow
0,heterospecificAttack,yellow
0,heterospecificAttack,yellow
1,heterospecificAttack,yellow
0,heterospecificAttack,yellow
0,heterospecificAttack,yellow
